0.0s - 4.0s: 同学们,我们生活在一个充满声音和光的世界里
191.5s - 193.5s: 火把,蜡烛,各式各样的电灯
193.5s - 195.5s: 以及随着科技的发展
195.5s - 197.5s: 还有激光,等等
197.5s - 199.5s: 那么,它还有什么共同的特点?
200.5s - 202.5s: 都会发光
202.5s - 204.5s: 那么,我们把这些
204.5s - 206.5s: 能够自行发光的物体
206.5s - 207.5s: 叫做光源
232.5s - 235.5s: 好,同学们,抬头看
235.5s - 237.5s: 我们教室里的每一盏灯
237.5s - 239.5s: 都是一个光源
239.5s - 241.5s: 那么,灯发出的波
242.5s - 244.5s: 是怎么传到我们眼睛的呢?
244.5s - 246.5s: 你能观察到它的传播路径吗?
246.5s - 247.5s: 不能
247.5s - 248.5s: 不能
248.5s - 250.5s: 来想一想,回忆一下
250.5s - 251.5s: 生活中
251.5s - 253.5s: 我们的灯发出的波
253.5s - 255.5s: 是怎么传到我们眼睛的呢?
255.5s - 257.5s: 你能观察到它的传播路径吗?
257.5s - 258.5s: 不能
258.5s - 259.5s: 不能
259.5s - 260.5s: 来想一想
260.5s - 261.5s: 回忆一下
261.5s - 262.5s: 生活中
262.5s - 264.5s: 在哪些情景下
264.5s - 266.5s: 你看到过光的传播路径?
267.5s - 268.5s: 激光
268.5s - 269.5s: 激光
269.5s - 271.5s: 那必须要在什么时候?
271.5s - 272.5s: 晚上
272.5s - 273.5s: 非常黑的时候
273.5s - 274.5s: 还有吗?
275.5s - 277.5s: 刚才我听到了
277.5s - 279.5s: 有烟和水雾的时候
279.5s - 281.5s: 地上耳相应
281.5s - 282.5s: 那比如
282.5s - 284.5s: 刚才同学们说的
284.5s - 285.5s: 有水和雾的时候
285.5s - 287.5s: 那就是日常生活中
287.5s - 288.5s: 夜晚
288.5s - 290.5s: 下雨,或者有雾的时候
290.5s - 292.5s: 看到路灯发出的光
292.5s - 293.5s: 它的传播路径
293.5s - 294.5s: 对不对
294.5s - 295.5s: 还有早晨
295.5s - 296.5s: 阳光
296.5s - 297.5s: 从树叶的缝隙
297.5s - 298.5s: 照射下来
298.5s - 299.5s: 我们也能观察到
299.5s - 301.5s: 所以我们可以借助于什么
301.5s - 303.5s: 来观察光的传播路径?
304.5s - 305.5s: 水雾
305.5s - 306.5s: 水雾
306.5s - 307.5s: 好
307.5s - 308.5s: 那么由于
308.5s - 310.5s: 我们的电灯
310.5s - 311.5s: 它发出的光
311.5s - 312.5s: 比较的发散
312.5s - 315.5s: 而且亮度也不够强
315.5s - 316.5s: 为了便于研究
316.5s - 319.5s: 我们可以使用
319.5s - 320.5s: 光
320.5s - 321.5s: 较为集中
321.5s - 323.5s: 亮度更高的光源
323.5s - 324.5s: 激光笔
324.5s - 325.5s: 同学们来
325.5s - 326.5s: 看一下
326.5s - 327.5s: 这里有两个激光笔
327.5s - 329.5s: 一只可以发出红色的光
329.5s - 330.5s: 一只可以发出绿色的光
330.5s - 332.5s: 那么我打开开关之后
332.5s - 334.5s: 能看到对面墙上有光点
334.5s - 335.5s: 这个光点
335.5s - 337.5s: 还是非常的强的
337.5s - 339.5s: 所以在使用的时候
339.5s - 341.5s: 我们一定要注意激光笔
341.5s - 343.5s: 不可以对这眼睛照射
343.5s - 345.5s: 一定要注意安全
346.5s - 347.5s: 那么激光笔
347.5s - 348.5s: 发出的光
348.5s - 350.5s: 从发光的位置
350.5s - 351.5s: 到你看到的
351.5s - 352.5s: 对面墙上的光点
352.5s - 353.5s: 光是眼
353.5s - 354.5s: 怎样的路径
354.5s - 355.5s: 传播的
355.5s - 356.5s: 能观察的东西
356.5s - 357.5s: 能看到
357.5s - 359.5s: 猜测可能是直线
359.5s - 360.5s: 那么我们可以
360.5s - 361.5s: 借助于什么
361.5s - 363.5s: 来观察它的传播路径?
363.5s - 364.5s: 水雾
364.5s - 365.5s: 好
365.5s - 367.5s: 那么除了可以借助水雾
367.5s - 369.5s: 我们还可以借助直板
369.5s - 370.5s: 那么接下来
370.5s - 371.5s: 请同学们观察一下
371.5s - 374.5s: 光在空气中的传播路径
374.5s - 375.5s: 怎样的
375.5s - 377.5s: 先来看一下用直板
390.5s - 391.5s: 能看到吗?
391.5s - 392.5s: 能看到
392.5s - 393.5s: 能看到
393.5s - 394.5s: 好
394.5s - 395.5s: 来
395.5s - 396.5s: 我们再试一下
396.5s - 397.5s: 用水
405.5s - 406.5s: 哦
406.5s - 407.5s: 看到了
407.5s - 408.5s: 看到了
408.5s - 409.5s: 看到了
409.5s - 410.5s: 好
410.5s - 411.5s: 请同学来试试看
411.5s - 412.5s: 你观察到
412.5s - 414.5s: 光在空气中
414.5s - 415.5s: 眼怎样的路径
415.5s - 416.5s: 传播来试试
416.5s - 417.5s: 试试试
419.5s - 420.5s: 嗯
420.5s - 421.5s: 在什么界置中啊
421.5s - 422.5s: 这是
422.5s - 424.5s: 在水雾中
424.5s - 425.5s: 空气
425.5s - 426.5s: 在空气中
426.5s - 427.5s: 来试试完整的
427.5s - 428.5s: 描写
428.5s - 429.5s: 在空气中
429.5s - 430.5s: 眼直线传播
430.5s - 431.5s: 非常好
431.5s - 432.5s: 光在空气中
432.5s - 433.5s: 眼直线传播
433.5s - 434.5s: 那么光
434.5s - 436.5s: 把它完整在你的学习单
436.5s - 437.5s: 任务一中
445.5s - 448.5s: 光除了可以在空气中传播
448.5s - 450.5s: 还可以在什么界置中传播呢
450.5s - 451.5s: 水
451.5s - 452.5s: 还有吗
452.5s - 453.5s: 玻璃
453.5s - 454.5s: 玻璃
454.5s - 455.5s: 等等
455.5s - 456.5s: 那么这些戒指
456.5s - 457.5s: 都有一个共同点
458.5s - 459.5s: 透明的
459.5s - 462.5s: 那么光在其他的透明戒指中
462.5s - 464.5s: 都是海岩之前传播呢
464.5s - 465.5s: 我们通过实验
465.5s - 466.5s: 一起来观察一下啊
466.5s - 467.5s: 这里
468.5s - 469.5s: 给大家准备了
469.5s - 470.5s: 两样实验器材
470.5s - 471.5s: 看到啊
471.5s - 472.5s: 一个是水
474.5s - 475.5s: 还有一个是
475.5s - 478.5s: 均匀的明胶固体
478.5s - 479.5s: 还有激光笔
481.5s - 483.5s: 请同学们观察一下
483.5s - 486.5s: 光在均匀的明胶固体中
486.5s - 488.5s: 在水中
488.5s - 490.5s: 试验怎样的路径传播
490.5s - 491.5s: 使用激光笔的时候
491.5s - 493.5s: 一定要注意眼睛啊
522.5s - 523.5s: 这个吧
523.5s - 524.5s: 这个
524.5s - 525.5s: 因为刚刚
525.5s - 526.5s: 这个
527.5s - 528.5s: 这个是水
528.5s - 529.5s: 水
530.5s - 531.5s: 这个是水
531.5s - 532.5s: 水
532.5s - 533.5s: 水
533.5s - 534.5s: 水
534.5s - 535.5s: 水
535.5s - 536.5s: 水
536.5s - 537.5s: 水
537.5s - 538.5s: 水
541.5s - 542.5s: 水
542.5s - 543.5s: 水
543.5s - 544.5s: 水
544.5s - 545.5s: 水
545.5s - 546.5s: 水
546.5s - 547.5s: 水
547.5s - 548.5s: 水
548.5s - 549.5s: 水
549.5s - 550.5s: 水
550.5s - 551.5s: 水
566.5s - 567.5s: 水
568.5s - 569.5s: 水
569.5s - 570.5s: 水
571.5s - 572.5s: 水
574.5s - 575.5s: 水
576.5s - 577.5s: 水
667.5s - 669.5s: 大概你要看的做得真正好
670.5s - 672.5s: 我是在手上看一下
672.5s - 673.5s: 看一下
673.5s - 675.5s: 超級新鮮
676.5s - 678.5s: 今晚明天才高就把它
678.5s - 680.5s: 要不把它拿起来
680.5s - 681.5s: 把它拿起来
681.5s - 682.5s: 吃饿了
682.5s - 684.5s: 这个也是完整的
684.5s - 686.5s: 有点难解
686.5s - 687.5s: 挂了一点
687.5s - 688.5s: 挂了一点
688.5s - 689.5s: 挂了一点
689.5s - 691.5s: 挂了一点
691.5s - 692.5s: 挂了一点
692.5s - 693.5s: 挂了一点
693.5s - 694.5s: 挂了一点
694.5s - 695.5s: 挂了一点
696.5s - 698.5s: 还高一点
698.5s - 699.5s: 挂了一点
723.5s - 724.5s: 挂了
724.5s - 725.5s: 挂了一点
725.5s - 726.5s: 挂了一点
726.5s - 727.5s: 挂了一点
759.5s - 760.5s: 挂了一点
771.5s - 772.5s: 吃吧
788.5s - 790.5s: 打鼓
793.0s - 796.0s: 打鼓
801.2s - 805.2s: 打鼓
808.7s - 811.7s: 打鼓
811.7s - 817.7s: 好了,我们大部分同学都已经观察了马来西亚
817.7s - 822.7s: 可以先把激光笔,把它关掉,关于
826.7s - 828.7s: 我们来看一下
842.7s - 849.7s: 我们来看一下,光在空气中直线传播,在水和居云的名叫固体中呢?
849.7s - 852.7s: 也是严直线传播的
852.7s - 857.7s: 那么通过以上几组实验,我们可以总结一下
857.7s - 861.7s: 光在什么样的戒指中直线传播
861.7s - 865.7s: 而居云的,还是相同的戒指
865.7s - 871.7s: 也就是说是在居云,而且要怎么样?
871.7s - 873.7s: 同种
882.7s - 888.7s: 在现实生活中,光往往,经过好多戒指感传播,比如有空气,照到水中
888.7s - 894.7s: 那么有一种戒指,照到另一种戒指的时候,光的传播路径,会有什么变化呢?
895.7s - 897.7s: 我们一起来看一下
925.7s - 927.7s: 我们来看一下
955.7s - 957.7s: 我们来看一下
985.7s - 987.7s: 我们来看一下
1015.7s - 1017.7s: 我们来看一下
1045.7s - 1050.7s: 指观察在水中,实验怎样的路径传播
1050.7s - 1053.7s: 这是在属性,这是它的底面,直线
1053.7s - 1055.7s: 好,我们再来看一下
1055.7s - 1057.7s: 如果指观察在空气中
1069.7s - 1072.7s: 沿什么路径?空气中
1072.7s - 1074.7s: 刚才我听到同学说了
1074.7s - 1078.7s: 我们整体来看,有空气到水中
1078.7s - 1081.7s: 它的传播路径发生什么样的变化?
1081.7s - 1088.7s: 弯折了一下,看到还是比较明显的
1088.7s - 1095.7s: 所以说,光要在同种戒指中,才能怎么样?
1095.7s - 1097.7s: 实现传播
1102.7s - 1106.7s: 那么刚才我们研究的戒指都是一些水
1106.7s - 1108.7s: 除了同种,刚才还是照到水中
1108.7s - 1109.7s: 均匀的戒指
1109.7s - 1113.7s: 那么它在均匀的戒指中,会发生什么样的变化呢?
1113.7s - 1115.7s: 传播路径,我们一起来看一下
1133.7s - 1136.7s: 这是均匀的淡眼水
1136.7s - 1139.7s: 我们先来观察一下,光在均匀的淡眼水中
1139.7s - 1141.7s: 它的传播路径
1142.7s - 1144.7s: 严守路径传播
1144.7s - 1146.7s: 直线
1146.7s - 1148.7s: 那么,接下来
1158.7s - 1159.7s: 那么,接下来
1159.7s - 1162.7s: 就像我在均匀的淡眼水中
1162.7s - 1166.7s: 沿着水槽的一侧,浇入浓液水
1168.7s - 1172.7s: 我们来观察一下,它的传播路径和水的变化
1172.7s - 1174.7s: 开始
1185.7s - 1187.7s: 对
1187.7s - 1188.7s: 对
1188.7s - 1191.7s: 哦,发生了什么样?
1191.7s - 1193.7s: 海岩实现传播吗?
1193.7s - 1195.7s: 嗯
1202.7s - 1207.7s: 发生了弯折,那么我把它搅拌均匀
1220.7s - 1222.7s: 现在又变成了均匀的盐水
1222.7s - 1224.7s: 它的传播路径一样
1224.7s - 1228.7s: 所以通过以上实验,我们可以总结出
1228.7s - 1232.7s: 锅要在什么样的介质中才能延直线传播
1233.7s - 1236.7s: 同种并且要均匀,很好
1258.7s - 1269.7s: 好了,同学们,刚才我们通过实验观察到了
1269.7s - 1274.7s: 光在空气,水均匀,明胶,互体中的传播情况
1274.7s - 1278.7s: 那么我们怎么来,关掉光源之后还能看到这光线相?
1278.7s - 1283.7s: 不能了,那么我们怎么样才能把它直观形象的描述出来
1283.7s - 1286.7s: 可以用图像,那么同学们看到任务二
1287.7s - 1291.7s: 学习单子的任务二,请同学们用图像
1291.7s - 1299.7s: 分别在这三种介质中画出你看到的光的传播情况
1376.7s - 1384.7s: 看到大部分同学都已经画好了
1389.7s - 1391.7s: 我们一起来看一看同学画的
1397.7s - 1400.7s: 我们先来看地图
1406.7s - 1410.7s: 来说一下,你为什么用这种图像来描述光的传播器
1410.7s - 1419.7s: 因为以前用激光底座的实验就是在空气,水中和均匀的门胶中都是延直线传播
1419.7s - 1425.7s: 所以我认为正常的光也是在这种同种均匀介质下也是延直线传播的
1425.7s - 1428.7s: 非常好,描述的非常有弱气
1428.7s - 1431.7s: 我们看一下,那么还有一句话,我们来看一看
1437.7s - 1448.7s: 因为我的激光底是从右侧和左侧打光,所以我们加了箭头
1448.7s - 1450.7s: 箭头表现成什么样?
1450.7s - 1452.7s: 传播光像
1452.7s - 1458.7s: 很好,那么同学们你们来看一下,这两种描述方式哪一种更合理的反正
1458.7s - 1464.7s: 第二种,我们来重现一下这个情况
1465.7s - 1472.7s: 比如在均匀迷交器的图体中,我们来看一下,那么第一个实验
1472.7s - 1475.7s: 好,再来看第二次实验,第一次实验
1475.7s - 1477.7s: 那么第二次实验
1483.7s - 1484.7s: 看到了吗?
1484.7s - 1489.7s: 那么两次的实验有什么相同和不相同的线性?
1489.7s - 1491.7s: 方向不一样
1491.7s - 1493.7s: 什么方向不一样?
1493.7s - 1495.7s: 谁的传播方向
1495.7s - 1498.7s: 光的传播方向不一样,那什么一样呢?
1498.7s - 1499.7s: 戒指
1499.7s - 1502.7s: 戒指一样,还看到什么线性是一样?
1502.7s - 1503.7s: 路径
1503.7s - 1505.7s: 看到了,直线传播是它的什么?
1505.7s - 1506.7s: 路径
1506.7s - 1509.7s: 路径,那完整的描述一下,就是两次实验
1509.7s - 1516.7s: 我们看到光的传播路径是相同的,而光的传播方向不同
1517.7s - 1519.7s: 那么通过实验,我们发现
1519.7s - 1523.7s: 光在同种均匀迷交器中,也直线传播
1523.7s - 1525.7s: 这是它的路径,对不对?
1525.7s - 1528.7s: 那么我们要来形象的描述它的传播情况
1528.7s - 1533.7s: 有两个主要特征,一个是它的路径,另一个就是它的方向
1533.7s - 1537.7s: 那么我们用直线来表示
1537.7s - 1540.7s: 光在同种均匀迷交器中的传播路径
1540.7s - 1543.7s: 箭头表示它的传播方向
1543.7s - 1548.7s: 那么我们就把从一个复达到真实的情绪
1548.7s - 1551.7s: 抽下成了一个简单的物理模型
1551.7s - 1556.7s: 那么这种路徒所示在线头的直线,叫它光线
1569.7s - 1572.7s: 光线是我们为了描述光的传播情况
1572.7s - 1576.7s: 而人为动见的一种物理模型
1590.7s - 1594.7s: 而在现实生活中,我们看到的都是光束一束光
1594.7s - 1597.7s: 那么如何描述光束的传播情况呢?
1597.7s - 1601.7s: 比如第一种,有平行光源发出的光
1601.7s - 1604.7s: 它的特点是光相互平行
1604.7s - 1610.7s: 那么我们可以用一组相互平行的光线来描述它的传播情况
1610.7s - 1614.7s: 比如我们的太阳光,可以近似的认为是平行光
1614.7s - 1617.7s: 那么对于我们电灯发出的光
1617.7s - 1620.7s: 它的方向是怎样的?
1620.7s - 1624.7s: 严各个方向
1624.7s - 1629.7s: 那么我们可以用路徒所示的方式来描述它的传播情况
1630.7s - 1632.7s: 同学们来思考一下
1632.7s - 1635.7s: 光和光线是不是都实际存在呢?
1635.7s - 1638.7s: 是
1638.7s - 1642.7s: 我觉得光是真实存在的
1642.7s - 1645.7s: 因为我们能看见光线的光线
1645.7s - 1650.7s: 光线是为了定义光的一个物理模型
1650.7s - 1652.7s: 是能够构造的
1652.7s - 1654.7s: 好,请坐
1654.7s - 1656.7s: 你要说得非常好,有一个点,就等一下
1657.7s - 1660.7s: 光线是我们为了描述光的传播情况
1660.7s - 1662.7s: 构建的一种模型
1662.7s - 1665.7s: 那么真实生活中,我们能看到光
1665.7s - 1668.7s: 我们能看到光线的时候,带尖头的直线吗?
1668.7s - 1671.7s: 看不到的
1671.7s - 1673.7s: 那么在学习声线下时
1673.7s - 1676.7s: 声波能不能在真空中传播?
1676.7s - 1678.7s: 那么光能不能在真空中传播?
1678.7s - 1679.7s: 可以
1679.7s - 1681.7s: 你有什么例子能说你这边?
1681.7s - 1683.7s: 他这边
1683.7s - 1685.7s: 要是光不能在真空中传播
1685.7s - 1687.7s: 那我们现在就看不到太阳光
1687.7s - 1689.7s: 我们现在地球上就是一块黑啊
1689.7s - 1691.7s: 那太阳光是?
1691.7s - 1693.7s: 太阳光是太阳发射
1693.7s - 1696.7s: 然后经过这外面一层宇宙
1696.7s - 1699.7s: 就是说这外面都是真空的
1699.7s - 1702.7s: 所以这样可以证明光是
1702.7s - 1704.7s: 能在真空中传播
1704.7s - 1706.7s: 非常好,逻辑非常清晰,大家同意吗?
1706.7s - 1708.7s: 好
1708.7s - 1711.7s: 那由此可见,光是可以在真空中传播的
1711.7s - 1714.7s: 正是在空间站中拍摄的看太阳的照片
1714.7s - 1716.7s: 那么光在真空中传播的速度
1716.7s - 1718.7s: 我们用小写字母C来表示
1718.7s - 1720.7s: 它的速度可以近似为
1720.7s - 1723.7s: 3.0乘以10到8次方米每秒
1723.7s - 1726.7s: 那么它在不同间之中的传播速度是不一样的
1726.7s - 1728.7s: 比如在空气中
1728.7s - 1731.7s: 它的传播速度接近于光速
1731.7s - 1734.7s: 而在水和玻璃中
1734.7s - 1736.7s: 速度要稍微慢一点
1736.7s - 1738.7s: 刚进行的运动会中
1738.7s - 1742.7s: 即时远,它总是先看到发力枪的烟雾
1742.7s - 1744.7s: 然后才听到枪声
1744.7s - 1746.7s: 这是为啥?
1746.7s - 1748.7s: 这是为啥?
1748.7s - 1750.7s: 想一想
1752.7s - 1754.7s: 因为我们看到
1754.7s - 1758.7s: 现在光传播的速度很快的
1758.7s - 1760.7s: 而声音传播的速度相对
1760.7s - 1762.7s: 而言是比光速慢的
1762.7s - 1764.7s: 所以我们先看到光
1764.7s - 1766.7s: 然后再听到声音
1767.7s - 1769.7s: 是不是这样?
1769.7s - 1771.7s: 是这样的
1771.7s - 1773.7s: 那么光在空气中
1773.7s - 1775.7s: 可见传播速度是很快的
1775.7s - 1778.7s: 刚才我们打开灯就看到了光
1778.7s - 1780.7s: 光照在了不透明的球上
1780.7s - 1782.7s: 我们就看到了影子
1782.7s - 1784.7s: 请同学们用我们今天学习的知识
1784.7s - 1787.7s: 讨论一下影子是怎么形成的
1790.7s - 1792.7s: 影子是怎么形成的
1857.7s - 1860.7s: 好,大家都讨论好了
1860.7s - 1862.7s: 来,刘续珠,来说声声
1868.7s - 1870.7s: 嗯
1870.7s - 1872.7s: 嗯
1878.7s - 1880.7s: 嗯,那就是被
1880.7s - 1882.7s: 这个不透明的物体挡住的
1882.7s - 1884.7s: 它的后方是没有光线
1884.7s - 1886.7s: 没有光过去的,对不对
1886.7s - 1888.7s: 所以呈现的是相对就暗取
1888.7s - 1891.7s: 我们用刚学习的光线这个模型
1891.7s - 1894.7s: 来分析一下影子的成因
1894.7s - 1896.7s: S表示点光源
1896.7s - 1898.7s: 那么这是不透明的物体
1898.7s - 1900.7s: 这是强,我们来看一下
1900.7s - 1903.7s: 光源发出的光在空气中是延
1903.7s - 1905.7s: 直线传播
1905.7s - 1908.7s: 遇到这个不透明的物体
1908.7s - 1910.7s: 那么它被挡住了,对不对
1910.7s - 1912.7s: 有言直线传播
1912.7s - 1914.7s: 所以这个物体的后方
1914.7s - 1916.7s: 还有没有光传播过去
1916.7s - 1918.7s: 没有,所以呈现的是相对比较暗的区域
1918.7s - 1920.7s: 而不被挡住的部分
1920.7s - 1922.7s: 光可以传播过去
1922.7s - 1924.7s: 我们看到的是亮的
1924.7s - 1926.7s: 所以这就是影子的成因
1926.7s - 1928.7s: 那么不同物体呢
1928.7s - 1930.7s: 根据光的直线传播
1930.7s - 1932.7s: 它形成的影子是不一样的
1932.7s - 1934.7s: 那么请同学们先想一段
1934.7s - 1936.7s: 披影系九色路
1936.7s - 1938.7s: 它是在传统披影系的基础上
1938.7s - 1940.7s: 结合了现代的技术
1941.7s - 1942.7s: 九色路达布了
1942.7s - 1944.7s: 披影的传统披影模式
1944.7s - 1945.7s: 首次尝试
1945.7s - 1947.7s: 影光披影与传统披影
1947.7s - 1950.7s: 交会融合的创新形式
1950.7s - 1952.7s: 将在空间延伸至台前
1952.7s - 1954.7s: 在光线的控制下
1954.7s - 1956.7s: 步步上的二维屏形象
1956.7s - 1958.7s: 可以秒变三维影光披影
1958.7s - 1960.7s: 来到目前
1960.7s - 1962.7s: 与观众竞技能接触
1962.7s - 1964.7s: 随着情节的转换
1964.7s - 1966.7s: 还能再次从台前
1966.7s - 1968.7s: 越入披影步步之中
1968.7s - 1970.7s: 引领三位一体的
1970.7s - 1972.7s: 派派体影新意象
1972.7s - 1974.7s: 刚才我们看到
1974.7s - 1976.7s: 在这个披影系中有很多物体
1976.7s - 1978.7s: 有很多小动物
1978.7s - 1980.7s: 也有很多小树
1980.7s - 1981.7s: 花草之类的
1981.7s - 1983.7s: 那么这是其中的一棵树
1983.7s - 1985.7s: 它在灯光下形成的影子
1985.7s - 1987.7s: 请同学们画出
1987.7s - 1990.7s: 小树在远离灯光的位置处
1990.7s - 1991.7s: 它的影子
1991.7s - 1992.7s: 把影子标出来
2058.7s - 2060.7s: 我们来看一下
2060.7s - 2089.7s: 好了,我们来看一下,大部分同学都已经化完了
2089.7s - 2099.7s: 我们来看一下,大家来看一下,有没有问题?
2099.7s - 2100.7s: 没有,没问题
2100.7s - 2104.7s: 那么光颜值线传播过了
2104.7s - 2109.7s: 那么被这个小数挡住的部位,它的后方没有光过去
2109.7s - 2111.7s: 所以呈现的是按的区域
2111.7s - 2115.7s: 那么它就是这段区域了
2115.7s - 2119.7s: 光不被挡住的部位,它可以传播过去
2119.7s - 2121.7s: 就是亮的区域,这是隐的形成
2123.7s - 2127.7s: 那么光不仅可以用来解释生活中的一些现象
2127.7s - 2130.7s: 它还可以应用在实际生活中来解决问题
2130.7s - 2133.7s: 比如我们学校要在花团栽三棵树
2133.7s - 2134.7s: 要求颜值线排列
2134.7s - 2138.7s: 那么同学们用牙签来代替树
2138.7s - 2140.7s: 画棉来代替地面
2140.7s - 2143.7s: 你来设计一下有几种方案
2143.7s - 2146.7s: 根据我们今天设计的就是来设计的
2233.7s - 2235.7s: 好了,我们请同学来说说看
2235.7s - 2238.7s: 来,有什么方法,第一种是怎么样
2239.7s - 2241.7s: 嗯,怎么样的它,赞成直线
2242.7s - 2244.7s: 线怎么样,来,你说说看
2246.7s - 2248.7s: 你可以演示一下
2249.7s - 2263.7s: 那你怎么检测,它是排成一条直线了呢?
2263.7s - 2267.7s: 然后对照片中照一下,三个影子这样,一直没有
2267.7s - 2269.7s: 嗯,很好,请做
2269.7s - 2271.7s: 那么除了这种方法,我们还可以用什么呀?
2271.7s - 2274.7s: 除了纸子,还有,直接说
2274.7s - 2277.7s: 呃,就是除了纸子光是颜值线传播的
2277.7s - 2280.7s: 因此,就是它当光照过来以后
2280.7s - 2284.7s: 理应来讲,它身后的那块区域我们是无法处理光源的
2284.7s - 2287.7s: 然后呢,我们就可以把那块得
2287.7s - 2289.7s: 卡在它的那一块里面
2289.7s - 2290.7s: 然后就能够
2290.7s - 2292.7s: 跟它说的是一样的,影子,对不对
2292.7s - 2295.7s: 那怎么检测你这个是排直了呢?
2295.7s - 2298.7s: 想一想,你们刚体育运动会中
2298.7s - 2300.7s: 怎么检测对我排直了?
2300.7s - 2302.7s: 呃,看不到前方的光源
2302.7s - 2304.7s: 呃,很好,请说
2304.7s - 2306.7s: 看不到前方的,可以用这个
2306.7s - 2308.7s: 那么刚才,我看很多同学都用了激光笔
2308.7s - 2310.7s: 这怎么用呢?
2312.7s - 2314.7s: 呃,形成一条直线,然后
2314.7s - 2316.7s: 沿着光传播的路径,怎么样?
2316.7s - 2318.7s: 呃,很好
2318.7s - 2320.7s: 那么,这就是这种方法
2320.7s - 2323.7s: 在我们物理学中,成为激光准值
2323.7s - 2326.7s: 那么它可以用来检测一些建筑师保数值
2326.7s - 2328.7s: 还可以用来,呃,把隧道用啊
2328.7s - 2330.7s: 那么刚才同学们提到的
2330.7s - 2333.7s: 不用激光笔的话,那就是我们的排队
2333.7s - 2335.7s: 还有一些设计项目瞄准
2335.7s - 2337.7s: 那么接下来,同学们
2337.7s - 2339.7s: 阅读一下,我们课本75页
2339.7s - 2342.7s: 小宏成像,其实对于光线上的研究
2342.7s - 2346.7s: 早大两天多年前莫听中处记载小宏成像
2346.7s - 2348.7s: 对,对,对
2361.7s - 2364.7s: 那么小宏成像,成熟了的像
2364.7s - 2366.7s: 和在小宏的孔径大小
2366.7s - 2368.7s: 以及形状有没有关系呢?
2368.7s - 2370.7s: 同学们课下可以自己来试一试
2370.7s - 2371.7s: 哦,同学们
2371.7s - 2374.7s: 刚才在最初的实验中,我们除了看到了影子
2374.7s - 2378.7s: 还看到了眼各个方向,传播的光
2378.7s - 2380.7s: 那么这些光是怎么形成的呢?
2380.7s - 2382.7s: 我们下节课的时候,再继续研究
2382.7s - 2384.7s: 好,请同学们来总结一下
2384.7s - 2386.7s: 这些课,你学习到了什么?
2386.7s - 2388.7s: 你有什么收购?
2388.7s - 2391.7s: 好,你先学,你不收购
